PUBLIC CASES - DETAILED RESULTS
==================================================

Case#	Days	Miles	Receipts	Expected	Predicted	Error
1	3	93	1.42	364.51	350.62	13.89
2	1	55	3.60	126.06	139.96	13.90
3	1	47	17.97	128.91	152.61	23.70
4	2	13	4.67	203.52	236.98	33.46
5	3	88	5.78	380.37	350.43	29.94
6	1	76	13.74	158.35	159.08	0.73
7	3	41	4.52	320.12	345.23	25.11
8	1	140	22.71	199.68	187.09	12.59
9	3	121	21.17	464.07	401.35	62.72
10	3	117	21.99	359.10	288.44	70.66
11	2	202	21.24	356.17	360.39	4.22
12	3	80	21.05	366.87	367.98	1.11
13	2	21	20.04	204.58	265.44	60.86
14	3	177	18.73	430.86	410.92	19.94
15	1	141	10.15	195.14	187.01	8.13
16	1	58	5.86	117.24	140.22	22.98
17	1	133	8.34	179.06	177.04	2.02
18	1	59	8.31	120.65	140.12	19.47
19	2	89	13.85	234.20	250.00	15.80
20	2	147	17.43	325.56	299.18	26.38
21	5	130	306.90	574.10	581.20	7.10
22	5	173	1337.90	1443.96	1429.30	14.66
23	5	592	433.75	869.00	904.62	35.62
24	5	679	476.08	1030.41	1004.22	26.19
25	5	708	1129.52	1654.62	1611.52	43.10
26	5	261	464.94	621.12	694.86	73.74
27	5	794	511.00	1139.94	1089.59	50.35
28	5	521	1448.55	1624.01	1584.48	39.53
29	5	595	863.93	1231.67	1313.96	82.29
30	5	811	952.39	1608.60	1550.21	58.39
31	5	477	704.42	1045.96	1013.20	32.76
32	5	730	485.73	991.49	992.63	1.14
33	5	262	1173.79	1485.59	1430.38	55.21
34	5	446	219.98	788.62	788.64	0.02
35	5	751	407.43	1063.46	966.06	97.40
36	5	324	128.94	686.54	733.66	47.12
37	5	414	967.00	1368.94	1311.81	57.13
38	5	367	290.78	742.25	784.33	42.08
39	5	764	848.75	1468.46	1446.29	22.17
40	5	249	873.75	1185.24	1170.29	14.95
41	8	862	1817.85	1719.37	1578.41	140.96
42	11	927	1994.33	1779.12	1817.44	38.32
43	9	602	186.69	1085.40	962.54	122.86
44	8	610	208.29	841.27	903.23	61.96
45	12	333	1103.21	1618.13	1631.03	12.90
46	8	435	1129.65	1525.26	1331.44	193.82
47	9	218	1203.45	1561.63	1549.89	11.74
48	12	781	1159.18	1752.72	1784.30	31.58
49	11	916	1036.91	2098.07	1965.52	132.55
50	10	358	2066.62	1624.11	1606.04	18.07
51	12	566	2013.70	1752.03	1783.74	31.71
52	9	954	1483.39	2024.20	1935.53	88.67
53	9	534	1929.94	1624.87	1634.14	9.27
54	12	765	1343.97	1953.03	1916.49	36.54
55	8	630	967.69	1388.05	1427.49	39.44
56	10	909	696.00	1505.19	1526.74	21.55
57	10	223	745.89	1037.45	1074.86	37.41
58	8	467	1178.71	1483.33	1313.78	169.55
59	9	708	461.07	1110.60	1117.25	6.65
60	9	885	1764.97	1694.37	1751.75	57.38
61	6	855	591.35	1339.72	1299.37	40.35
62	2	993	54.24	715.19	653.37	61.82
63	5	685	747.14	1216.36	1258.14	41.78
64	3	981	341.45	813.95	788.56	25.39
65	5	770	873.33	1502.49	1478.66	23.83
66	6	697	651.64	1237.71	1244.30	6.59
67	3	795	450.85	743.94	762.04	18.10
68	3	606	1184.23	1364.54	1395.86	31.32
69	3	842	865.37	1251.14	1203.62	47.52
70	7	748	241.73	971.31	1000.91	29.60
71	7	624	148.16	905.79	895.93	9.86
72	2	713	740.33	1048.28	1006.19	42.09
73	3	874	1191.40	1515.99	1485.18	30.81
74	6	761	530.19	1120.10	1137.54	17.44
75	1	815	97.89	539.36	466.37	72.99
76	1	601	497.70	644.12	649.28	5.16
